country,happiness_score,economy_gdp_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,year,region
Serbia,5.177,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737,2016,Central and Eastern Europe
Bosnia and Herzegovina,5.163,0.93383,0.64367,0.70766,0.09511,0,0.29889,2016,Central and Eastern Europe
Montenegro,5.161,1.07838,0.74173,0.63533,0.15111,0.12721,0.17191,2016,Central and Eastern Europe
Dominican Republic,5.155,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,2016,Latin America and Caribbean
Morocco,5.151,0.84058,0.38595,0.59471,0.25646,0.08404,0.04053,2016,Middle East and North Africa
Hungary,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,2016,Central and Eastern Europe
Pakistan,5.132,0.68816,0.26135,0.40306,0.14622,0.1388,0.31185,2016,South Asia
Lebanon,5.129,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,2016,Middle East and North Africa
Portugal,5.123,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691,2016,Western Europe
Macedonia,5.121,1.0193,0.78236000000000006,0.64738,0.27668,0.07047,0.23507,2016,NA
Vietnam,5.061,0.74037,0.79117,0.66157,0.55954,0.11556,0.25075,2016,Southeast Asia
Somaliland Region,5.057,0.25558,0.75862,0.33108,0.3913,0.36794,0.51479,2016,NA
Tunisia,5.045,0.97724,0.43165,0.59577,0.23553,0.0817,0.03936,2016,Middle East and North Africa
Greece,5.033,1.24886,0.75473,0.80029,0.05822,0.04127,0,2016,Western Europe
Tajikistan,4.996,0.48835,0.75602,0.53119,0.43408,0.13509,0.25998,2016,Commonwealth of Independent States
Mongolia,4.907,0.98853,1.08983,0.55469,0.35972,0.03285,0.34539,2016,East Asia
Laos,4.876,0.68042,0.5497,0.38291,0.52168,0.22423,0.43079,2016,Southeast Asia
Nigeria,4.875,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2016,Sub-Saharan Africa
Honduras,4.871,0.69429,0.75596,0.58383,0.26755,0.06906,0.2044,2016,Latin America and Caribbean
